dress,6
stone,5
tiny,7
climb,11
cool,6
design,8
poor,6
lot,3
bottom,10
iron,4
single,7
flat,7
twenty,12
smile,7
crease,8
hole,7
trade,6
melody,12
trip,6
office,14
receive,12
row,6
symbol,13
die,4
least,5
wrote,8
seed,5
tone,4
clean,7
lady,8
yard,8
rise,4
bad,6
blow,9
oil,3
blood,8
grew,8
cent,6
team,6
wire,7
cost,6
lost,4
brown,10
wear,7
garden,8
sent,4
choose,11
fell,7
fit,6
flow,10
fair,7
collect,11
save,7
control,9
decimal,12
gentle,7
woman,10
captain,11
practice,14
separate,10
doctor,9
please,8
protect,11
noon,4
whose,11
locate,8
ring,5
character,16
insect,8
period,9
indicate,11
radio,6
atom,6
history,13
effect,14
electric,12
crop,8
modern,9
element,9
hit,6
corner,8
party,10
bone,6
rail,4
imagine,10
provide,13
agree,6
capital,11
chair,10
danger,8
rich,9
soldier,8
process,11
operate,9
necessary,14
sharp,10
wing,8
create,8
neighbor,14
wash,10
bat,5
rather,9
crowd,11
corn,6
compare,13
poem,8
string,7
bell,6
depend,10
meat,6
dollar,7
stream,8
fear,7
sight,9
thin,7
triangle,9
planet,8
chief,13
colony,11
mine,6
tie,3
enter,5
fresh,11
search,11
send,5
yellow,12
allow,8
print,7
dead,6
spot,6
desert,7
lift,7
rose,4
chart,10
hat,6
sell,4
company,16
event,8
deal,5
swim,9
term,6
opposite,12
wife,10
shoe,7
spread,9
arrange,8
camp,10
invent,9
cotton,8
born,6
determine,12
nine,4
noise,5
level,8
chance,13
gather,10
shop,9
stretch,12
throw,11
shine,8
property,15
select,8
wrong,9
gray,8
repeat,8
broad,8
prepare,11
salt,4
nose,4
anger,6
claim,9
continent,11
death,9
pretty,11
women,10
season,6
magnet,9
silver,9
branch,13
match,12
especially,17
fig,7
afraid,10
sister,6
steel,5
forward,14
similar,9
score,7
apple,9
led,4
pitch,12
coat,6
mass,6
card,7
band,7
rope,6
slip,6
win,6
dream,8
evening,11
condition,12
feed,8
tool,4
total,5
basic,9
smell,7
valley,12
nor,3
seat,4
arrive,9
master,8
parent,8
shore,8
division,12
sheet,8
favor,11
connect,11
post,6
spend,8
chord,11
fat,6
glad,6
original,9
share,8
station,7
dad,5
bread,8
charge,12
proper,10
bar,5
offer,11
segment,10
slave,8
instant,7
degree,8
dear,5
enemy,10
reply,10
speech,13
range,6
steam,7
motion,8
path,9
log,4
meant,7
teeth,8
shell,8
